,PROCEDIMENTO,Unnamed: 1,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
51,CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,AMB,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
52,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,
53,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,,,,
54,SESSÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,AMB,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,
55,,HCO,HSO,REF,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,
56,ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE,,,,ACOMPANHAMENTO DE PACIENTES,,,,,,,,
57,ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,
58,,546/2022,03/10/2022,HCO,HSO,REF,PAC,AVALIAÇÕES/ACOMPANHAMENTOS,,,,,
59,E DO DOADOR,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
60,ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
61,,HCO,HSO,REF,PAC,AVALIAÇÕES/ACOMPANHAMENTOS,,,,,,,
62,DO DOADOR,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
63,,RN,,,,,,,,,,,
64,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
65,,(alteração),,,,,,,,,,,
66,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
67,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,
68,TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,HSO,REF,PAC,64,AVALIAÇÕES/ACOMPANHAMENTOS,,,,,
69,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
70,TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO),536/2022,06/05/2022,AMB,HCO,HSO,REF,,152,AVALIAÇÕES/ACOMPANHAMENTOS,,,
71,,,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,
72,MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A,,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,
73,,,,AMB,,,REF,PAC,54,AVALIAÇÕES/ACOMPANHAMENTOS,,,
74,TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,
75,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,
76,CARDIOTOCOGRAFIA,,,AMB,HCO,HSO,REF,,,MONITORIZAÇÕES,,,
77,,,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,
78,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,
79,HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,,,AMB,,,REF,,,MONITORIZAÇÕES,,,
80,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,
81,MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,,
82,,AMB,REF,56,MONITORIZAÇÕES,,,,,,,,
83,UTILIZAÇÃO,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,
84,,581/2023,12/072023,AMB,REF,162,MONITORIZAÇÕES,,,,,,
85,RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,
86,MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,HCO,HSO,REF,MONITORIZAÇÕES,,,,,,,,
87,MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,HCO,HSO,REF,MONITORIZAÇÕES,,,,,,,,
88,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,
89,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,,
90,MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,HCO,HSO,REF,MONITORIZAÇÕES,,,,,,,,
91,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,
92,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,,
93,MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,HCO,HSO,REF,MONITORIZAÇÕES,,,,,,,,
94,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,
95,POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),,HCO,HSO,REF,,,MONITORIZAÇÕES,,,,,
96,TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,AMB,HCO,HSO,REF,PAC,67,MONITORIZAÇÕES,,,,,
97,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
98,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,
99,TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,AMB,HCO,HSO,REF,PAC,67,MONITORIZAÇÕES,,,,,
100,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
101,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,
102,ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,AMB,,,REF,,,REABILITAÇÃO,,,,,
103,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
104,AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),AMB,HCO,HSO,REF,REABILITAÇÃO,,,,,,,
105,BIOFEEDBACK COM EMG,AMB,HCO,HSO,REF,REABILITAÇÃO,,,,,,,
106,MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,
107,,581/2023,12/072023,AMB,REF,162,MONITORIZAÇÕES,,,,,,
108,RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITAL,,,,
109,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,
110,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,
111,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,,,,,,,
112,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,
113,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,,,,,,,
114,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,
115,,RN,,,,,,,,,,,
116,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
117,,(alteração),,,,,,,,,,,
118,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
119,REABILITAÇÃO LABIRÍNTICA,AMB,HCO,HSO,REF,REABILITAÇÃO,,,,,,,
120,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
121,REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,AMB,HCO,HSO,REF,REABILITAÇÃO,,,,,,,
122,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
123,REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS,AMB,HCO,HSO,REF,REABILITAÇÃO,,,,,,,
124,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
125,REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR,AMB,HCO,HSO,REF,REABILITAÇÃO,,,,,,,
126,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
127,,RN,,,,,,,,,,,
128,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
129,,(alteração),,,,,,,,,,,
130,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,
131,BETATERAPIA,AMB,HCO,HSO,REF,PAC,TERAPÊUTICA,,,,,,
132,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,
133,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,
134,CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,AMB,HCO,HSO,REF,,TERAPÊUTICA,,,,,,
135,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
136,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
137,CATETERISMO VESICAL,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
138,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
139,CERUMEN - REMOÇÃO,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
140,CRIOTERAPIA,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
141,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
142,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
143,CRIOTERAPIA,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
144,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
145,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
146,CURATIVOS EM GERAL COM OU SEM ANESTESIA,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
147,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
148,DILATAÇÃO URETRAL,,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,
149,DESSENSIBILIZAÇÃO DENTÁRIA,OD,,,,,TERAPÊUTICA,,,,,,
150,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
151,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,
152,DESSENSIBILIZAÇÃO DENTÁRIA,OD,,,,,,TERAPÊUTICA,,,,,
153,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
154,,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,
155,ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO),,AMB,HCO,HSO,REF,24,TERAPÊUTICA,,,,,
156,,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
157,FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO,AMB,,,REF,PAC,TERAPÊUTICA,,,,,,
158,INSTILAÇÃO VESICAL OU URETRAL,AMB,HCO,HSO,REF,,TERAPÊUTICA,,,,,,
159,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
160,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
161,INSTILAÇÃO VESICAL OU URETRAL,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
162,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
163,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,
164,LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
165,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,
166,PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
167,PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA,AMB,HCO,HSO,REF,TERAPÊUTICA,,,,,,,
168,,RN,,,,,,,,,,,
169,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
170,,(alteração),,,,,,,,,,,
171,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,,,,,,,
172,SESSÃO DE ACUPUNTURA,AMB,REF,TERAPÊUTICA,,,,,,,,,
173,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,,,,,
174,,571/2023,10/02/2023,HCO,HSO,REF,PAC,159,TERAPÊUTICA,,,,
175,UTILIZAÇÃO),,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,
176,TERAPIA PARA DOENÇA DE FABRY CLÁSSICA (COM DIRETRIZ,581/2023,12/07/2023,,,,,,,,PROCEDIMENTOS CLÍNICOS,PROCEDIMENTOS CLÍNICOS,
177,,,,AMB,HCO,HSO,REF,PAC,161,TERAPÊUTICA,,,
178,DE UTILIZAÇÃO),599/2024,05/03/2024,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,
179,,538/2022,22/10/2022,HCO,HSO,REF,PAC,153,TERAPÊUTICA,,,,
180,DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,
181,,AMB,HCO,HSO,REF,PAC,65,TERAPÊUTICA,,,,,
182,UTILIZAÇÃO),,,,,,,,AMBULATORIAIS E HOSPITALARES,AMBULATORIAIS E HOSPITALARES,,,
183,,RN,,,,,,,,,,,
184,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
185,,(alteração),,,,,,,,,,,
186,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,",PROCEDIMENTOS CIRÚRGICOS E,,,,,
187,CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
188,,,,,,,MUCOSAS E ANEXOS,INVASIVOS,,,,,
189,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,",PROCEDIMENTOS CIRÚRGICOS E,,,,,
190,CANTOPLASTIA UNGUEAL,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
191,CAUTERIZAÇÃO QUÍMICA,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
192,CIRURGIA DA HIDROSADENITE,,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
193,,RN,,,,,,,,,,,
194,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
195,,(alteração),,,,,,,,,,,
196,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,",PROCEDIMENTOS CIRÚRGICOS E,,,,,
197,EXÉRESE DE LESÃO COM AUTO-ENXERTIA,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
198,,,,,,,MUCOSAS E ANEXOS,INVASIVOS,,,,,
199,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,",PROCEDIMENTOS CIRÚRGICOS E,,,,,
200,EXÉRESE DE LESÃO DE PELE E MUCOSAS,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
201,EXÉRESE DE TUMOR DE PARTES MOLES,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
202,EXÉRESE DE UNHA,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
203,,RN,,,,,,,,,,,
204,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
205,,(alteração),,,,,,,,,,,
206,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,",PROCEDIMENTOS CIRÚRGICOS E,,,,,
207,"RETALHO CUTÂNEO, MUSCULAR OU COMPOSTO (INCLUINDO CARTILAGEM OU OSSO)",,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
208,,,,,,,MUCOSAS E ANEXOS,INVASIVOS,,,,,
209,,,,,,,"PELE E TECIDO CELULAR SUBCUTÂNEO,",PROCEDIMENTOS CIRÚRGICOS E,,,,,
210,RETIRADA DE CORPO ESTRANHO SUBCUTÂNEO,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
211,RETRAÇÃO CICATRICIAL DE ZONA DE FLEXÃO E EXTENSÃO DE MEMBROS SUPERIORES E INFERIORES,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,,
212,RETRAÇÃO DE APONEUROSE PALMAR (DUPUYTREN),HCO,HSO,REF,PROCEDIMENTOS,,,,,,,,
213,SUTURA DE FERIMENTOS COM OU SEM DESBRIDAMENTO,AMB,HCO,HSO,REF,,PROCEDIMENTOS,,,,,,
214,TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,HSO,REF,148,PROCEDIMENTOS,,,,,,
215,TRANSECÇÃO DE RETALHO,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,,
216,TRANSFERÊNCIA INTERMEDIÁRIA DE RETALHO,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,,
217,TRATAMENTO CIRÚRGICO DA UNHA (ENXERTO),AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
218,"TRATAMENTO CIRÚRGICO DE HEMANGIOMAS, LINFANGIOMAS OU NEVUS",,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
219,TRATAMENTO CIRÚRGICO DE BRIDAS CONSTRICTIVAS,,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
220,TRATAMENTO CIRÚRGICO DO ABSCESSO DE UNHA (DRENAGEM),AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
221,TRATAMENTO DA MIIASE FURUNCULÓIDE,AMB,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
222,TRATAMENTO DE ESCARAS OU ULCERAÇÕES COM RETALHOS CUTÂNEOS,,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,
223,TRATAMENTO DE ESCARAS OU ULCERAÇÕES COM RETALHOS MIOCUTÂNEOS OU MUSCULARES,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,,
224,TRATAMENTO DE FÍSTULA CUTÂNEA,HCO,HSO,REF,PROCEDIMENTOS,,,,,,,,
225,,RN,,,,,,,,,,,
226,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
227,,(alteração),,,,,,,,,,,
228,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
229,EXCISÃO EM CUNHA,,AMB,HCO,HSO,REF,LÁBIO,CABEÇA E PESCOÇO,,,,,
230,,,,,,,,,INVASIVOS,,,,
231,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
